description,bathrooms,construction_status,built_up_area,bedrooms,furnishing,carpet_area,price,location
"Unique Legacy comes with many perks and an Energizing spread of modern amenities is the biggest of them all. Designed with careful attention towards different needs of the different family members, these amenities are meant to ensure that you and your loved ones experience life at its best! Unique Properties have maintained steady growth, launching not only unique and comprehensive projects that have revolutionized the concept of urban living in Pune but have also received much recognition with prestigious awards & accolades including Developer of the year.",2,Under Construction,988,2,Unfurnished,760,5500000,"Mundhwa, Pune, Maharashtra"
"Mahira Homes 95 Gurgaon provides all the recreational and facilities for its residents including a gymnasium, clubhouse, kids play area, 5 acres of landscaped green zones, water management, road network, waste management, commercial complex, energy efficiency, parking, and so on. Each flat is 3 sides open and offers ample natural light and great ventilation. The builder has provided utility balcony with kitchen therefore ensuring natural sunlight entry in each corner of home.",2,Under Construction,800,2,Semi-Furnished,600,2050000,"Sector 95, Gurgaon, Haryana"
Location Merits Mahira Homes 95,2,Under Construction,1020,2,Semi-Furnished,650,2000000,"Sector 95, Gurgaon, Haryana"
"Flat With Modern amenities- Club House, children's Play Area, Garden, Security System , East - West Facing with Very good ventilation.",2,Ready to Move,1005,2,Unfurnished,750,7200000,"Balewadi, Pune, Maharashtra"
G+4 Building,2,Ready to Move,1050,2,Unfurnished,720,6500000,"Ulwe, Navi Mumbai, Maharashtra"
Appt. For Sale Luxurious Apartments in Nashik,2,Under Construction,997,2,Unfurnished,739,4587267,"Ashok Nagar, Nashik, Maharashtra"
A GRACIOUS ABODE,2,Under Construction,915,2,Unfurnished,677,4701680,"Pashan, Pune, Maharashtra"
Sabse Sunheri location k flats -2 BHK,2,Ready to Move,890,2,Semi-Furnished,890,3269000,"Noida Extension, Greater Noida, Uttar Pradesh"
સાયણ મા ફાયદે થી 3bhk ફ્લેટ વેચવાના છે.,2,Ready to Move,1600,3,Semi-Furnished,1600,2100000,"Sayan Road, Surat, Gujarat"
Big Projects Kalptaru Builders With All Moder Amenities Best Society In Mira Road,3,Ready to Move,1250,3,Unfurnished,855,13100000,"Mira Road East, Mumbai, Maharashtra"
Hari Aangan - 2 & 3 BHK Luxurious Apartments in Nashik,3,Under Construction,1299,3,Unfurnished,962,5976769,"Nashik Road, Nashik, Maharashtra"
0% Brokerage,2,Ready to Move,1525,3,Semi-Furnished,1100,12800000,"Mira Road, Mumbai, Maharashtra"
This is a spacious 2bhk semi furnished flat mountain facing fully open view garden facing windows with oc available for sale near seven eleven school unique garden Beverly Park Mira road east,2,Ready to Move,975,2,Semi-Furnished,675,8500000,"Kanakia Road, Mumbai, Maharashtra"
2 BHK Flat for Sale in Ganga Village in Handewadi Road Hadapsar Pune 411028.,2,Ready to Move,835,2,Unfurnished,627,3300000,"Hadapsar, Pune, Maharashtra"
"Hari Om 2 1,2 & 3 BHK Apartments in Nashik",2,Ready to Move,894,2,Unfurnished,662,3219364,"Mumbai Naka, Nashik, Maharashtra"
AT 200 FT CHORAHA AJMER ROAD 3 BHK APARTMENT FLAT FOR SALE JDA APPROVED LOANABLE WITH ALL THE FACILITIES AVAILABLE NEAR BY.,2,Ready to Move,1400,3,Semi-Furnished,1202,3400000,"Ajmer Road, Jaipur, Rajasthan"
Hari Vishwa 2 & 4 BHK Apartments in Nashik,2,Under Construction,1050,2,Unfurnished,778,3833620,"Mumbai Naka, Nashik, Maharashtra"
"Modern Amenities, 4 BHK in Hari Vishwa Apartments in Nashi",4,Under Construction,2281,4,Unfurnished,1690,12775951,"Dwarka, Nashik, Maharashtra"
"G - 94 Mayur Vihar Ashoka garden,80ft road Bhopal",4+,Ready to Move,2100,4+,Unfurnished,1900,6000000,"Ashoka Garden, Bhopal, Madhya Pradesh"
HARI VASANT TWIN TOWERS - 2BHK For Sale,2,Under Construction,1236,2,Unfurnished,916,6922906,"Nashik Road, Nashik, Maharashtra"
There may be many skyscrapers on this famous street at Parel. But an icon,2,Under Construction,740,2,Semi-Furnished,740,25000000,"Parel, Mumbai, Maharashtra"
The project offers Apartment and Studio Apartment with perfect combination of contemporary architecture and features to provide comfortable living.,2,Ready to Move,994,2,Furnished,994,29000000,"Bhakti Park, Mumbai, Maharashtra"
"The apartments are loaded with amenities like children's play area, clubhouse, 24x7 security, power backup, landscaped gardens, Wi-Fi connectivity, CCTV cameras, automatic elevators, anti-termite treatment, firefighting system and multi-level car parking. It also caters to the needs of physical fitness having gymnasium and a swimming pool.",2,Under Construction,534,2,Unfurnished,534,9996000,"Mira Road East, Mumbai, Maharashtra"
It is a part of vazhakkala. The apartment is well ventilated with single balcony and has 1 bathrooms.This is a semi-Furnished property.,1,Ready to Move,750,1,Semi-Furnished,700,2850000,"Vazhakkala, Kochi, Kerala"
Get beautiful 3 BHK in Hari Vasant Twintowers,3,Under Construction,1774,3,Unfurnished,1314,9936244,"Dwarka, Nashik, Maharashtra"
Premium 2bhk flats Pre-launch sale at bachupally in 12 acres gated community with world class amenities,2,New Launch,1055,2,Unfurnished,1055,2743000,"Bachupally, Hyderabad, Telangana"
"HURRY BOOK NOW...3BHK ""Sample Flat Ready""",3,Under Construction,1700,3,Unfurnished,1000,3899000,"Nilamber Circle, Vadodara, Gujarat"
Highpoints,2,Under Construction,543,2,Unfurnished,543,10200000,"Mira Road East, Mumbai, Maharashtra"
"Skilfully designed with smart floor plans, SK Imperial Heights apartments are basked with adequate natural light. Optimum ventilation all along the day keep these homes pleasant and lively. Exclusively planned with attractive flooring, high-end lavatory fittings and branded specifications these well-ventilated residential apartments are worth every penny of your investment.",2,Under Construction,534,2,Unfurnished,534,9996000,"Mira Road East, Mumbai, Maharashtra"
More about SK Imperial Heights,2,Under Construction,535,2,Unfurnished,535,9995000,"Mira Road East, Mumbai, Maharashtra"
Project Advantage,2,Under Construction,385,1,Unfurnished,385,7404000,"Mira Road East, Mumbai, Maharashtra"
The property has Fire Protection And Fire Safety Requirements. There is provision for Closed Car Parking.,2,Under Construction,740,1,Unfurnished,520,6000000,"Mira Road East, Mumbai, Maharashtra"
"Hari Nakshatra 2,3 & 4 BHK Luxurious Apartments in Nashik",2,Under Construction,1244,2,Unfurnished,921,6843314,"Ashoka Marg, Nashik, Maharashtra"
Sanaand Manipur roads,1,Ready to Move,91,1,Semi-Furnished,77,1850000,"Ghuma Village, Ahmedabad, Gujarat"
Availability 3 BHK Luxurious Apartments in Nashik,3,Under Construction,1460,3,Unfurnished,1081,8031530,"Dwarka, Nashik, Maharashtra"
Buy 4 BHK Flats in Nashik at Hari Nakshtra,4,Under Construction,1930,4,Unfurnished,1429,10617000,"Indira Nagar, Nashik, Maharashtra"
"Nice clean apartment with lift. Wooden flooring, nice garden view, clean surroundings.",2,Ready to Move,102,2,Unfurnished,68,4800000,"Greater Noida West, Noida, Uttar Pradesh"
"HARI KRISHNA IV artilery center road ,near jay bhavani road , nashik road",1,Under Construction,770,1,Unfurnished,570,2888330,"Dwarka, Nashik, Maharashtra"
2 BHK Flat for Sale in Nilesh Classic in Hamdewadi Road Hadapsar Pune 411028.,2,Ready to Move,825,2,Unfurnished,619,3400000,"Hadapsar, Pune, Maharashtra"
"Karda Hari Sanskruti 2 in Nasik Road, Nasik by Karda Constructions",1,Under Construction,501,1,Unfurnished,371,1754061,"Nashik Road, Nashik, Maharashtra"
"Karda Hari Sanskruti 2 Nasik Road, Nasik",3,Under Construction,1146,3,Unfurnished,849,4298716,"Nashik Road, Nashik, Maharashtra"
Availability 2 BHK Hari Sanskruti 2 /7 floors building,2,Under Construction,750,2,Unfurnished,556,2625810,"Mumbai Naka, Nashik, Maharashtra"
ગાર્ડન લોકેશન,1,Ready to Move,670,1,Unfurnished,436,1451000,"Dindoli Om Nagar Society, Surat, Gujarat"
"3 BH K flat ,ready to move in.",3,Ready to Move,1604,3,Semi-Furnished,1206,3500000,"Rang Kripa Society, Bharuch, Gujarat"
"Hari Gokuldham in Jail Road, Nashik by Karda Constructions",1,Under Construction,502,1,Unfurnished,371,1832862,"Jail Road , Nashik, Maharashtra"
"Hurry-2 bhk for sale in kharadi,Large flat+premium location,at 68.99 L",2,Under Construction,976,2,Unfurnished,737,6899280,"Kharadi, Pune, Maharashtra"
"अच्छे घर महंगे हो ये जरुरी नहीं | बेहतरीन construction quality वाले 1,2,3 BHK अफोर्डेबल घर",2,Ready to Move,980,2,Semi-Furnished,910,2530000,"Sector 100, Noida, Uttar Pradesh"
Best ROI 2 BHK in Hari Gokuldham,2,Under Construction,722,2,Unfurnished,535,2636082,"Ashoka Marg, Nashik, Maharashtra"
"Flat is n-E facing, semifurnished (Modular kitchen, in-Built cupboards, max storage), freshly painted, dry balcony with ample space for storage/placing washing & sewing m/c, beautiful flowerbed in balcony size 5'x8'4"" with common drip irrigation, special provision for concealing piping for split ac for both bedrooms, all duct areas covered with shutters, all windows provided with sound proof panes (Finesta) and additional meshed panels.",2,Ready to Move,1240,2,Furnished,880,14000000,"Kavesar, Thane, Maharashtra"
The project is spread over a total area of 0.42 acres of land. Shriram Kanhaiya Majesty has a total of 1 towers. The construction is of 6 floors. An accommodation of 36 units has been provided.,2,Under Construction,830,2,Unfurnished,615,6576400,"Baner, Pune, Maharashtra"
"Shriram Kanhaiya Majesty in Baner, Pune by Shriram Infracon is a residential project.",2,Ready to Move,785,2,Unfurnished,580,6248800,"Baner, Pune, Maharashtra"
"Karda Hari Laxmi in Deolali Camp, Nasik by Karda Constructions Ltd",1,Under Construction,675,1,Unfurnished,500,2464425,"Deolali, Nashik, Maharashtra"
2 BHK Apartments for Sale in Handewadi at Best Price,2,Ready to Move,809,2,Unfurnished,1112,5020000,"Hadapsar, Pune, Maharashtra"
2 BHK Apartment for Sale in Handewadi at best Price,2,Ready to Move,805,2,Unfurnished,1105,5050000,"Hadapsar, Pune, Maharashtra"
2 BHK at Handewadi for Sale,2,Ready to Move,810,2,Unfurnished,1120,5015000,"Hadapsar, Pune, Maharashtra"
"Available for Sale 2 BHK Hari Laxmi , Lam Road, Deolali",2,Under Construction,840,2,Unfurnished,622,3066910,"Lam Road , Nashik, Maharashtra"
"Hari Sparsh Barnes School road, Deolali Camp, Nashik.",1,Under Construction,621,1,Unfurnished,460,2049981,"Jail Road , Nashik, Maharashtra"
3 BHK Residential Apartment Flat For Sale At Mansarovar Near Maharani Garden Road Opposite Rajat Path With All The Facilities.,2,Ready to Move,1370,3,Semi-Furnished,1130,3000000,"Mansarovar, Jaipur, Rajasthan"
"2 BHK Flat for Sale in Shravandhara in Near D-Mart Sasane Nagar Hadapsar Pune 411028, Semi Furnished Flat, Common Parking Avaliable.",2,Ready to Move,650,2,Semi-Furnished,395,4400000,"Hadapsar, Pune, Maharashtra"
"1BHK flat for sale. best qwality, best location loan facility available. direct call or visit.behind chinar garden, Padegaon, Aurangabad. own project. clear title.",1,Ready to Move,550,1,Unfurnished,400,1550000,"Padegaon, Aurangabad, Maharashtra"
1BHK Flat for Sale near Tollygunge Phari (Frank Ross Medical Shop). Loan will be provided by us at the rate of 12% per annum intrest..,1,Under Construction,400,1,Unfurnished,320,1250000,"Tollygunge West, Kolkata, West Bengal"
%Take a stroll around these flats and discover a peaceful living%,2,Under Construction,755,2,Unfurnished,558,4100000,"Wakad, Pune, Maharashtra"
2300sq4bhk,4,Ready to Move,2300,4,Furnished,100,6500000,"Thirumala, Thiruvananthapuram, Kerala"
3 BHK Residential Apartment Flat For Sale At Mansarovar Near Maharani Garden Road Opposite Rajat Path With All The Facilities.,2,Ready to Move,1370,3,Semi-Furnished,1130,3000000,"Mansarovar, Jaipur, Rajasthan"
"Hari Sparsh Barnes School road, Deolali Camp, Nashik.",1,Under Construction,621,1,Unfurnished,460,2049981,"Jail Road , Nashik, Maharashtra"
"1BHK flat for sale. best qwality, best location loan facility available. direct call or visit.behind chinar garden, Padegaon, Aurangabad. own project. clear title.",1,Ready to Move,550,1,Unfurnished,400,1550000,"Padegaon, Aurangabad, Maharashtra"
"2 BHK Flat for Sale in Shravandhara in Near D-Mart Sasane Nagar Hadapsar Pune 411028, Semi Furnished Flat, Common Parking Avaliable.",2,Ready to Move,650,2,Semi-Furnished,395,4400000,"Hadapsar, Pune, Maharashtra"
"Silver Castle Springs is an ongoing premium Apartment project at Mukkolakkal, Trivandrum. This project offers spacious 2 and 3 BHK apartments on 10 floors totaling 30 apartments. The project is nearing completion & will be ready for delivery in 2/3 months. The sizes of the apartments are given below.",3,Under Construction,1560,3,Unfurnished,1232,6800000,"Mukkola, Thiruvananthapuram, Kerala"
"1250sq.ft house, 18.5cent ,3BHK 2 Attached, 135sq.ft carporch , Near Tavanur Mana",3,Ready to Move,1250,3,Semi-Furnished,1250,6800000,"Thiruthi, Naduvattom, Kerala"
"Property Features:long-winded2 bed room 1003Sqfthigh-rise apartmentAvailable for saleat Viyyur Thrissur. This flat consist of Spacious Living, Dining, east facing kitchen,black granite Kitchen platform counter topwith honed edges and stainless steel sink, 2 bed attached, High quality vitrified tiles for the entire apartment, with vitrified skirting, elegant modular switches, sanitary fittings,Three phase power supply, Ac points in all rooms, Provision for Geyser, fabulous balcony, tar road access,Surrounded compound wall with entrance gate, open well& corporation water etc. It’s a wonderful place with lush greenery where you can spend a relaxed, Calm and easy life-Style.",2,Ready to Move,1003,2,Semi-Furnished,900,4700000,"Viyyur, Thrissur, Kerala"
Opposite Chitrakoot 2 BHK Ready To Shift Apartment Flat For Sale JDA Approved Semi Furnished with all the facilities available near by.,2,Ready to Move,980,2,Semi-Furnished,860,2650000,"Vaishali Nagar, Jaipur, Rajasthan"
One bhk flat for sale in Ignou university near saket metro station,1,Ready to Move,450,1,Unfurnished,400,1500000,"Freedom Fighters Vihar, Delhi, Delhi"
Kharkopar railway station 5 minutes ramsheth Thakur stadium 2 minutes nearby market school bus depot rickshaw stand Hospital 12 metre road 24 hours water supply 2.5 BHK full furnace,2,Ready to Move,1325,2,Furnished,890,9200000,"Ulwe, Navi Mumbai, Maharashtra"
"Address - Sector 115, Kharar, Mohali",4,Ready to Move,1103,4,Semi-Furnished,0,4900256,"Sector 82, Mohali, Punjab"
Nivanta @ Taloja Phase 2,2,Under Construction,554,1,Unfurnished,411,2800000,"Kamothe, Navi Mumbai, Maharashtra"
Ready to move semi furnished 3 bhk flat for sale in Mohali,3,Ready to Move,1550,3,Semi-Furnished,1083,3590256,"Sector 18C, Chandigarh, Chandigarh"
5cent2200sq4bhk,4,Ready to Move,2200,4,Furnished,100,6500000,"Peyad, Thiruvananthapuram, Kerala"
1BHK &2BHK Flat,1,Ready to Move,550,1,Semi-Furnished,480,1225009,"Noida Extension, Noida, Uttar Pradesh"
4cent1700sq3bhk,3,Ready to Move,1700,3,Furnished,100,4800000,"Thirumala, Thiruvananthapuram, Kerala"
Swimming pool with kids' pool,2,Ready to Move,1005,2,Semi-Furnished,1005,3211111,"Noida Extension, Greater Noida, Uttar Pradesh"
Land area : 30 acres,2,Ready to Move,1182,2,Semi-Furnished,1182,4200000,"Greater Noida West, Noida, Uttar Pradesh"
3.200cent1300sq3bhk,3,Ready to Move,1300,3,Furnished,100,4500000,"Thirumala, Thiruvananthapuram, Kerala"
4cent1800sq3bhk,3,Ready to Move,1800,3,Furnished,100,5000000,"Thirumala, Thiruvananthapuram, Kerala"
4cent1600sq3bhk7,3,Ready to Move,1800,3,Furnished,100,5200000,"Thirumala, Thiruvananthapuram, Kerala"
4cent1900sq4bhk,4,Ready to Move,1900,4,Furnished,300,5800000,"Thirumala, Thiruvananthapuram, Kerala"
4cent1100sq3bhk88888,3,Ready to Move,1100,3,Furnished,100,3400000,"Thirumala, Thiruvananthapuram, Kerala"
4cent2000sq4bhk7,4,Ready to Move,2000,4,Furnished,500,5500000,"Thirumala, Thiruvananthapuram, Kerala"
4bhk my villas,4,Ready to Move,1900,4,Furnished,100,5200000,"Thirumala, Thiruvananthapuram, Kerala"
"brand new un used duplex, selling because I live elsewhere.",3,Ready to Move,1969,4,Unfurnished,1100,7000000,"Kolar Road, Bhopal, Madhya Pradesh"
2100sq4bhk,4,Ready to Move,2100,4,Furnished,100,7900000,"Thirumala, Thiruvananthapuram, Kerala"
920 sft,2,Ready to Move,920,2,Semi-Furnished,900,3900000,"Boduppal, Hyderabad, Telangana"
"CCTV FOR SECURING BUILDING PREMISES,PARKING SPACE, RAINWATER HARVESTING,ALL PRODUCTS WILL BE BRANDED AND ISO MARKED.",2,Under Construction,675,1,Semi-Furnished,405,5400000,"Mira Road, Mumbai, Maharashtra"
Why PAY RENT when you can afford Brand New 1 bhk at Bhandup. 10 mins to Dmart. 10 min to Bhandup Station. Well-Connected. Available all Public Transport. This Smart 1bhk with Semi-furnished is available starting at 75lakhs.,2,Ready to Move,400,1,Semi-Furnished,377,7500000,"Kurla West, Mumbai, Maharashtra"
"Flat for sale , jagathgiri gutta , rajiv gruha kalpa hills, remodeling house",1,Ready to Move,70,2,Unfurnished,70,1400000,"Sai Nagar Colony, Hyderabad, Telangana"
READY to move 3bhk flats,2,Ready to Move,1205,3,Semi-Furnished,1154,3388000,"Sector 117, Mohali, Punjab"
its resale 1 BHK available for urgent sale.,1,Ready to Move,590,1,Unfurnished,420,2500000,"Hadapsar, Pune, Maharashtra"
"Westbrook is convinced as an offering of 2 Tower. The well Planned 2 Bhk apartments are meticulously designed for maximum natural light, ventilation and spacious flat with Ready amenities-Water body, Clubhouse, Ganesh Mandir, etc",2,Ready to Move,1072,2,Unfurnished,766,5860000,"Ambegaon, Pune, Maharashtra"
Spacious beautiful 2 BHK flat for sale. INDEPENDENT FLAT at Each floor.Four side ventilation...,2,Ready to Move,1007,2,Semi-Furnished,965,3750000,"Dighori, Nagpur, Maharashtra"
Project Advantage:,2,Under Construction,660,2,Unfurnished,1050,4800000,"Handewadi, Pune, Maharashtra"
Urgent sale,1,New Launch,550,1,Furnished,500,240000,"Baikunth Nagar, Bhilai, Chhattisgarh"
Highlights of Mahira Affordable Sector 95,2,Under Construction,1060,2,Semi-Furnished,650,2000000,"Sector 95, Gurgaon, Haryana"
"2 BHK Flat for Sale in Patil Hill View in Handewadi Road Hadapsar Pune 411028, Unfurnished Flat, Moduler Kitchen Covered Car Parking Avaliable.",2,Ready to Move,860,2,Unfurnished,635,4000000,"Hadapsar, Pune, Maharashtra"
"The ideal location of Mahira Homes 95 and the prices they come at makes it one of the most affordable and promising residential project in the city. Check out some of the great features that will leave you awestruck with its great planning, design and luxuriousness.",2,Under Construction,950,2,Semi-Furnished,650,2000000,"Sector 95, Gurgaon, Haryana"
CALL OR WHATSAPP FOR MORE DETAILS.,3,Ready to Move,1400,3,Furnished,1364,3390000,"Sector 115, Mohali, Punjab"
We are selling our fully furnished 3 bhk flat in alkapuri behind welcome (5 star ) Hotel,3,Ready to Move,2200,3,Furnished,1600,5500000,"Alkapuri, Vadodara, Gujarat"
"3 Bhk fully furnished flat for sale in CD signature Gogol . 3rd floor with lift , still car parking, swimming pool , kids play area and 24×7 high security. Close to super market , school , Hospital . flat is fully furnished price 1.15 cr. With out furniture price is 1.05cr",2,Ready to Move,1400,3,Furnished,1350,11500000,"Borda, Margao, Goa"
10 years old flat for sale in good condition.,1,Ready to Move,530,2,Unfurnished,500,1800000,"Baridih, Jamshedpur, Jharkhand"
2 BHK Front Facing At Maharani Garden Road Mansarovar JDA Approved Loanable With All The facilities Available Near By.,2,Ready to Move,950,2,Semi-Furnished,850,2550000,"Mansarovar, Jaipur, Rajasthan"
Structure :,2,Under Construction,715,2,Semi-Furnished,715,19600000,"Ghatkopar East, Mumbai, Maharashtra"
AT Jagdamba Nagar 3 BHK Front Facing Apartment Flat For Sale JDA Approved Loanable With All The Facilities Available Near By.,2,Ready to Move,1320,3,Semi-Furnished,1100,2900000,"Ajmer Road, Jaipur, Rajasthan"
By,2,Ready to Move,750,2,Semi-Furnished,750,20400000,"Ghatkopar East, Mumbai, Maharashtra"
Expected Possession: December 2023 onwards,3,Under Construction,1056,3,Semi-Furnished,1056,30000000,"Ghatkopar East, Mumbai, Maharashtra"
Ghatkopar Avenue offers elegant 3 BHK Vastu compliant apartments. Every Home is bound to impress you with its sheer beauty. Well designed layout with passage free planning ensures optimum space in each apartment. We understand every need of the customer and that add up to ease your life. Care is taken to make your private space as luxurious as possible.,3,Under Construction,1000,3,Semi-Furnished,1000,27600000,"Ghatkopar East, Mumbai, Maharashtra"
"Sheth Beaumonte in Sion East, Central Mumbai suburbs by Sheth Creators and Sahana Group of Companies is a residential project.",2,Ready to Move,938,3,Semi-Furnished,938,42000000,"Sion East, Mumbai, Maharashtra"
3bhk ready to move flats for sale in Whitefield with all amenities and OC,2,Ready to Move,1210,3,Unfurnished,855,4777777,"Whitefield, Bengaluru, Karnataka"
"1,2,3 BHK, Large homes for sale in Kharadi and Manjari.",2,Under Construction,1100,2,Semi-Furnished,800,6000000,"Kharadi, Pune, Maharashtra"
Luxurious 3 BHK Flats for Sale ₹1.62 Cr* at Spicer College Aundh Road Range Hills Call for more details and site visit,3,Under Construction,1217,3,Unfurnished,1217,17391375,"Senapati Bapat Road, Pune, Maharashtra"
The project offers Apartment with perfect combination of contemporary architecture and features to provide comfortable living.,2,Under Construction,938,2,Semi-Furnished,938,35100000,"Sion East, Mumbai, Maharashtra"
The project offers Apartment and Studio Apartment with perfect combination of contemporary architecture and features to provide comfortable living.,4,Dealer,2467,4,Ready to Move,20000,68000000,"Bhakti Park, Mumbai, Maharashtra"
The project offers Apartment and Studio Apartment with perfect combination of contemporary architecture and features to provide comfortable living.,3,Ready to Move,1661,3,Semi-Furnished,1661,47000000,"Bhakti Park, Mumbai, Maharashtra"
"Baghajatin area. Semi furnished flat with garage. Very well located, well maintained, South North West open. 2 big ponds are situated in South & North. Since I am shifting to new location, thus selling. Walking distance from Jadavpur Garia main road. Very well maintained, good neighbours, Price Rs.35 lacs(including garage) . Market/shops within 50 meters. You will like it. Decide after seeing.",2,Ready to Move,720,2,Semi-Furnished,500,3500000,"Bagha Jatin, Kolkata, West Bengal"
"Imperial Heights Dahisar East, Mumbai is the best option to own a luxurious home for your family. Developed by SK Heights Pvt. Ltd., this project features 342 units distributed among 3 towers. The project offers 1, 2 and 3 BHK flats with freehold ownership. The flat prices of Imperial Heights are priced within Rs. 51.0 Lacs - 1.05 Cr and for more detailed information, take a look at the photos of Imperial Heights.",2,Under Construction,385,1,Unfurnished,385,7404000,"Mira Road East, Mumbai, Maharashtra"
About the project,2,Under Construction,535,2,Unfurnished,535,9995000,"Dahisar East, Mumbai, Maharashtra"
1 BHK flat with good Atmostphere and best facilities.,1,Ready to Move,0,1,Furnished,0,2500000,"Ratanlal Nagar, Kanpur, Uttar Pradesh"
1Rk flat for sale in Badlapur west,1,Under Construction,375,1,Unfurnished,265,1550000,"Badlapur West, Ulhasnagar, Maharashtra"
1Bhk flat for sale in Mulund west 68LACS all inclusive,1,Under Construction,450,1,Unfurnished,320,6800000,"Mulund West, Mumbai, Maharashtra"
2bhk spacious flat for sale in GHATKOPAR east all inclusive 1.20cr,2,Under Construction,650,2,Unfurnished,489,12000000,"Ghatkopar East, Mumbai, Maharashtra"
2bhk flat for sale in GHATKOPAR west,2,Under Construction,650,2,Unfurnished,489,12500000,"Ghatkopar East, Mumbai, Maharashtra"
"2 BHK Flat for Sale in Florista County in Handewadi Road Hadapsar Pune 411028, Unfurnished Flat, Common Parking Avaliable, Price = 45 Lac.",2,Ready to Move,900,2,Unfurnished,675,4500000,"Hadapsar, Pune, Maharashtra"
"Vinayak, Royal Town, Makhmalabad",1,Ready to Move,750,2,Unfurnished,600,1700000,"Makhamalabed Gaothan, Nashik, Maharashtra"
Specifications,2,Ready to Move,1215,3,Semi-Furnished,1152,3387000,"Sector 116, Mohali, Punjab"
"Sahithi Nirupama, Tellapur, Lingampalli Hyderabad",2,New Launch,1220,2,Unfurnished,1200,4300000,"Tellapur, Hyderabad, Telangana"
"This development is surrounded by beautifull water body , that will allow you to enjoy stunning views of nature from the comfort of your home.",2,Ready to Move,1200,3,Semi-Furnished,900,4500000,"Saltlake Sector V, Kolkata, West Bengal"
DSR - Vivanta 2020 is a meticulously constructed apartment project,2,Ready to Move,814,2,Unfurnished,570,2930400,"Maraimalai Nagar, Chennai, Tamil Nadu"
2 BHK Spacious Apartments at Handewadi.,2,Ready to Move,800,2,Unfurnished,1100,5000000,"Hadapsar, Pune, Maharashtra"
"One of the largest & most trusted developer of Mumbai, has a strong presence in its Western Suburbs with more than 5 million square feet of planned development, understanding the needs and requirements of Mumbaikars. Here we present to you 'READY MADE LIFESTYLE ON THE MOVE' - Sethia Imperial Avenue, served with every elements of pleasure and opulence at the most significant location near Western Express Highway, Malad East. So unbox the surprises for your premium living in the heart of Mumbai, the fastest city of the nation.",1,Under Construction,330,1,Unfurnished,550,7500000,"Malad East, Mumbai, Maharashtra"
We are Happy to announce new launch Ridge Residences off Link Road at Andheri-(W),2,Ready to Move,1385,3,Unfurnished,864,31100000,"Jogeshwari West, Mumbai, Maharashtra"
*aps vihaan galaxy homes is a residential property with all modern facilities and amenities near metro Station school hospitals etc.,2,Ready to Move,1350,3,Semi-Furnished,910,3200000,"Sector 1 Noida extension, Greater Noida, Uttar Pradesh"
"Urgent 2 BHK Flat For Sale in Salt Lake City, Kolkata, Meena Orchid",2,Under Construction,860,2,Unfurnished,511,4128000,"Saltlake Sector III, Kolkata, West Bengal"
"2 BHK- Flat Salt Lake City, Kolkata at Meena Orchid",2,Under Construction,938,2,Unfurnished,553,4502400,"Saltlake Sector 1, Kolkata, West Bengal"
"Spacious Flats Available for Sale in B.T Road, Sodepur-Sodepur Station : 1 km.-Chitpur Terminas : 12 Kms.-Kalyani Expressway : 2.5 Kms.}",3,Under Construction,1313,3,Unfurnished,1313,4847000,"BT Road, Kolkata, West Bengal"
Gm Meena Icon - New Residential Apartments by at Sodepur,3,Under Construction,1421,3,Unfurnished,1421,5272500,"BT Road, Kolkata, West Bengal"
"2 BHK Flat for Sale only in Salt Lake City, Kolkata, Meena Orchid",2,Under Construction,868,2,Unfurnished,514,4166400,"Saltlake Sector 1, Kolkata, West Bengal"
"Best designed 2 BHK Flat For Sale in Salt Lake City, Kolkata, Meena Orchid",2,Under Construction,895,2,Unfurnished,530,4296000,"Rajarhat, Kolkata, West Bengal"
Gm Meena Orchid is a New Launch project in Kolkata,2,Under Construction,750,2,Unfurnished,432,3600000,"Saltlake Sector 1, Kolkata, West Bengal"
-Luxurious Apartment in Sodepur kolkata developed by Gm group,3,Under Construction,1423,3,Unfurnished,1423,5272629,"BT Road, Kolkata, West Bengal"
"GM Meena Paradise in Kaikhali, Kaikhali by GM Group -",3,Under Construction,1164,3,Unfurnished,1164,4194000,"Kaikhali, Kolkata, West Bengal"
Two b h k flat for sale in Anand near Amul dairy area t.p. 2 with furnechure walldroop kitchen modular and two'lift nice location in Anand Amul dairy area,2,Ready to Move,1050,2,Semi-Furnished,800,2100000,"Amul Dairy Area, Anand, Gujarat"
"Silver Castle Springs is an ongoing premium Apartment project located near St.Thomas School Mukkolakkal, Trivandrum. This project offers spacious 2 and 3 BHK apartments in 3 layout options on 10 floors. The project is nearing completion & will be ready for delivery in Nov 2020.",2,Under Construction,1100,2,Unfurnished,870,4980000,"Mukkola, Thiruvananthapuram, Kerala"
"Silver Castle Springs is an ongoing premium Apartment project located near St.Thomas School Mukkolakkal, Trivandrum. This project offers spacious 2 and 3 BHK apartments on 10 floors totaling 30 apartments.",2,Under Construction,1100,2,Unfurnished,870,4980500,"Nalanchira, Thiruvananthapuram, Kerala"
"Immediate sale, Owner of the flat",1,Ready to Move,600,1,Furnished,100,1650000,"Paravur Junction, Aluva, Kerala"
2 Bds - 2 Ba 1072 sqf,2,Under Construction,680,2,Unfurnished,1072,5400000,"Hinjewadi Rajiv Gandhi Infotech Park Phase 1, Pune, Maharashtra"
