description,bathrooms,construction_status,built_up_area,bedrooms,furnishing,carpet_area,price,location
Indulge yourself in an unprecedented experience of luxury apartments in some of the most sought after destinations in Bangalore. We offer hand-picked amenities and hi-tech architecture at competitive prices to make your dream home a reality.,3,Under Construction,1298,3,Unfurnished,1200,5192000,"Hennur Road, Bengaluru, Karnataka"
"DS-MAX STARRY apartment is strategically located in Electronic City Phase-1, blossoming in the heart of finest spot in Bangalore. What lends it the special touch is its proximity to all the city's major hot-spots and business centers.",3,Under Construction,1300,3,Unfurnished,1150,4290000,"Electronic City Phase I, Bengaluru, Karnataka"
4cent1800sq3bhk,3,Ready to Move,1800,3,Furnished,100,5700000,"Thirumala, Thiruvananthapuram, Kerala"
1Bhk flat for sale in Kanjur marg east,1,Ready to Move,530,1,Unfurnished,375,8500000,"Kanjurmarg East, Mumbai, Maharashtra"
1Bhk flat for sale in Mulund west,1,Under Construction,480,1,Unfurnished,320,6800000,"Mulund West, Mumbai, Maharashtra"
1RK flat for sale in Badlapur west,1,Under Construction,375,1,Unfurnished,270,1550000,"Sonivali, Badlapur, Maharashtra"
2bhk spacious flat for sale in GHATKOPAR east,2,Under Construction,650,2,Unfurnished,400,12500000,"Ghatkopar East, Mumbai, Maharashtra"
"Bhairav residency is located by prime location.This is nearest to schools,colleges,hospitals,schools,malls,atms,dmart etc.This property is very nicely done by builders.This is very beautiful project to live a life.",3,Ready to Move,1340,3,Semi-Furnished,1074,12000000,"Mira Road, Mumbai, Maharashtra"
For Sale 2 BHK Apartments at Handewadi,2,Ready to Move,809,2,Unfurnished,1109,5013000,"Undri, Pune, Maharashtra"
"SK Imperial Heights in Mira Road East, S K Heights Builders is a residential project.",2,Dealer,642,2,Semi-Furnished,0,8100000,"Mira Road, Mumbai, Maharashtra"
"The major factor influencing the richness of the locality is that, it matches the modernization factor with enhanced connectivity to Kanakapura Road and NICE road (Bangalore-Mysore Highway). Moreover, new metro station has been proposed in its neighboring localities, which is an added advantage to the residents.",3,Under Construction,1700,3,Unfurnished,1650,6460000,"Uttarahalli, Bengaluru, Karnataka"
Boring road,3,Ready to Move,2300,3,Semi-Furnished,2000,17000000,"Rajapur, Patna, Bihar"
4cent1900sq4bhk,4,Ready to Move,1900,4,Furnished,100,6000000,"Peyad, Thiruvananthapuram, Kerala"
4cent1800sq3bhk,3,Ready to Move,1800,3,Furnished,100,5200000,"Thirumala, Thiruvananthapuram, Kerala"
C/101' SULTANA PALACE,1,Ready to Move,385,1,Unfurnished,385,1110000,"Mumbra, Thane, Maharashtra"
3 bhk apartments in the premium luxury tower overlooking the yelahanka dairy circle the apartments are done with vitrified tiles,3,New Launch,1400,3,Unfurnished,1350,7000000,"Yelahanka, Bengaluru, Karnataka"
"SK Heights brings a residential project Imperial Heights which is located in Mira Road East, Mumbai. SK Heights aims to develop longterm relations with their customers by delivering projects with worldclass infrastructure at affordable prices. This township offers 361 units of luxurious 1, 2 and 3 BHK apartments with sizes ranging between 637 and 1204 sq. ft. The apartments are loaded with amenities like childrens play area, clubhouse, 24x7 security, power backup, landscaped gardens, WiFi connectivity, CCTV cameras, automatic elevators, antitermite treatment, firefighting system.",2,Ready to Move,662,1,Semi-Furnished,550,5800000,"Mira Road, Mumbai, Maharashtra"
అంజన్ బ్రీజీ మెడోస్ .. నిర్మాణంలో మార్గదర్శకుడు మరియు చక్కగా నిర్వహించబడుతున్న ప్రాజెక్ట్. 30% చెల్లించండి. ఆక్యుపెన్సీ వరకు EMI లేదు.,2,Under Construction,1475,3,Semi-Furnished,1200,4500000,"Sri Nagar Colony, Khammam, Telangana"
THIS PRICE IS INCLUSIVE OF ALL INCLUDING PARKING.,2,Under Construction,725,1,Semi-Furnished,450,6700000,"Mira Road East, Mumbai, Maharashtra"
1bhk DDA flat furnished with 2 room kitchen vathroom balcony washroom for sale in lok nayak puram bakerwala peeragadi najafgrah toad. its very well maintained freehold registered property . its named as glourious apptts... very peaceful society with all facalities. metro is just 1 km from society. ditect deal with owner its has reserved car parking. electricty and drinking water .,1,Ready to Move,600,1,Semi-Furnished,540,1800000,"Bakarwala, Delhi, Delhi"
Greetings for the day and thanks for your valuable enquiry with us!,3,Ready to Move,1300,3,Unfurnished,1125,4925000,"Race Course, Coimbatore, Tamil Nadu"
Shop with house 24/7 light n water school hospital market near to house camp,1,Ready to Move,650,1,Unfurnished,650,680000000,"Bhawani Peth, Pune, Maharashtra"
"NILAYA Greens; the stunning new addition to Ghaziabad's Most well Connected and Developing Region i.e. Rajnagar Extension in close vicinity to NH-58 and Delhi–Meerut Regional Rapid Transit System (Delhi–Meerut RRTS). Just minutes from the Eastern Peripheral Expressway (Connecting Haryana, Gautam Budhnagar & Faridabad), Elevated Road (signal free highway to Delhi Border). The Location is nearby Domestic Airport at Hindon developed under UDAN (Udey Deshka Aam Nagrik) scheme – you will be at the centre of everything, thus saving your precious time spent on road which will lead to more quality time spent at home with your loved ones.",1,Ready to Move,628,1,Semi-Furnished,533,1729000,"Raj Nagar Extension, Ghaziabad, Uttar Pradesh"
"आज ही दीजिए अपने सपनों को नई उड़ान,",2,Under Construction,1215,2,Unfurnished,680,51000,"Palanpur, Surat, Gujarat"
Premium 3 BHK Flats in Mohali,3,Under Construction,1650,3,Semi-Furnished,1350,4690000,"Sector 74, Mohali, Punjab"
"₹47Lakh ownwards-2BHK,Spacious-Get No PRE EMI+NO Interest offer,till Posession",2,Under Construction,909,2,Unfurnished,723,4734590,"Kiwale, Pune, Maharashtra"
"3 bhk apartments are ready to move in prime location of electronics city phase 1, the apartments are premium specifications",3,Under Construction,1318,3,Unfurnished,1300,4000000,"Electronic City Phase II, Bengaluru, Karnataka"
2 BHK builder floor available for sale on 55ft road in Vipin Garden walking distance from Dwarka mor,2,Under Construction,450,2,Unfurnished,490,2300000,"Dwarka Mor, Delhi, Delhi"
2 BHK builder floor available for sale In Vipin Garden on 55ft road 500 meter walking from dwarka mor main road facing this is 2 side open plot,2,Under Construction,501,2,Unfurnished,500,2500000,"Dwarka Mor, Delhi, Delhi"
2 BHK Flat for Sale in Sanskruti in Handewadi Road Hadapsar Pune 411028.,2,Ready to Move,803,2,Unfurnished,602,4800000,"Hadapsar, Pune, Maharashtra"
5 to 10 mints railway station bus stop nearby rikshaw stand relaince degiyal krishna sweat food court school hospital medicals 24 hours water supply power back up stationary shop cake shop,2,Ready to Move,1100,2,Unfurnished,770,8500000,"Ulwe, Navi Mumbai, Maharashtra"
3 bedroom apartments in the premium locations the apartments are ready to move in and close to Horamavu - kalkere lake,3,Ready to Move,1976,3,Unfurnished,1900,7900000,"Horamavu Agara, Bengaluru, Karnataka"
"3 bhk apartments with the premium locations the apartments come with swimming pool, club house, gym and children play area",3,Ready to Move,2047,3,Unfurnished,2000,8200000,"Horamavu Agara Main Road Horamavu, Bengaluru, Karnataka"
"DS MAX SAROVAR is the answer to the increasing demand of urban living. This 1, 2 & 3 BHK luxury apartments is set in a pristine location offering you a pleasant escape from pollution and heavily crowded life. It offers a spacious living area for you and your family with abundance of natural lighting, best of modern luxuries coupled with excellent architectural settings.",2,Ready to Move,994,2,Unfurnished,900,2485000,"Attibele Industrial Area, Bengaluru, Karnataka"
"One last word! As the demand for homes and apartments near ITPL and Whitefield is pretty high and our prices are unimaginably low and with the comforts DS-MAX Sangam Grand, Whitefield promises, it’s an irresistible offer for both the residents and the investors. So, if you want to avail this never before opportunity, you just have to be a bit quick in grabbing the offer.",1,Under Construction,1100,2,Unfurnished,1000,4200000,"Whitefield, Bengaluru, Karnataka"
"DS-MAX SONATA is a brand new addition to the wide range of luxury apartments from DS-MAX Group. Set in the heart of the city’s suburbs, where one can unwind, rejuvenate and simply relax to the full – complete, with the best of amenities to look after the mental, emotional, physical and spiritual well – being of its residents. Made for the discerning global citizen, the project is designed to make you fall in love with your new quality of life; with its modern facilities delivering maximum comfort and convenience.",2,Under Construction,974,2,Unfurnished,900,3214000,"Jalahalli, Bengaluru, Karnataka"
"3BHK READY TO MOVE semi furnished flat for sale at kabardanga more, Marble flooring, East & West open, at Kabardanga More 3km distance from《Tollygunge Metro》& 2 Km Distance from Joka Metro Flat Size is 1073 sqft/ Sale Rs.41,00000 Lacs. Flat No. 2F, Block 1 & open Car Parking 2, 00,000 lacs.",2,Ready to Move,1073,3,Semi-Furnished,1000,4100000,"Tollygunge, Kolkata, West Bengal"
1 bhk flat for your new stey,1,Ready to Move,610,1,Furnished,386,2400000,"Nalasopara West, Mumbai, Maharashtra"
This is a spacious 1bhk flat with Oc available for sale main road touch building near mayor Bunglow Beverly park Mira road east,1,Ready to Move,595,1,Unfurnished,410,4950000,"Mira Road East, Mumbai, Maharashtra"
"Introduction The Zara Aavaas Township is spread over 7 acres (Approx) of land comprising of multistory towers, part of a grand plan that encompasses modern gracious living, soothing water bodies with landscape gardens along with the elite grand lifestyle of Gurgaon. The project is conceptualized as a self sustainable livable community and is strategically in Sector 104 very near to Gurgaon Railway Station and Dwarka Expressway.",2,Ready to Move,900,2,Semi-Furnished,600,3100000,"Sector 104, Gurgaon, Haryana"
Super Luxurious 3 Bhk flats for sale @ BNK Colony. Near Zoo Park. New Project. Limited Flats. *Upto 80% BANK LOAN AVAILABLE* . . Ready to occupy . Contact for more details.,2,Ready to Move,1200,3,Unfurnished,1000,4560000,"Tadbun, Hyderabad, Telangana"
SDPL Greens is a gated Township Spread over an area of 8.75 acres of land in North Nagpur.,2,Ready to Move,945,2,Unfurnished,609,3019275,"Kamptee Road, Nagpur, Maharashtra"
